LA_name,LA_code,Total,March_2020,April_2020,May_2020,June_2020,July_2020,August_2020,September_2020,October_2020,November_2020,December_2020,January_2021,February_2021,March_2021,April _2021,
York,E06000014,337,3,65,74,9,4,1,1,5,13,25,79,42,12,4,
Wyre Forest,E07000239,249,1,71,31,4,1,0,1,8,9,30,42,33,15,3,
Wyre,E07000128,340,0,40,48,17,2,1,0,25,58,35,75,32,6,1,
Wychavon,E07000238,248,2,73,17,8,3,0,2,2,13,22,56,39,8,3,
Worthing,E07000229,208,1,38,27,3,2,0,2,3,7,3,55,51,14,2,
Worcester,E07000237,175,0,38,13,4,1,0,0,2,9,8,70,23,7,0,
Wolverhampton,E08000031,735,35,176,48,16,4,1,2,22,38,52,177,130,32,2,
Wokingham,E06000041,267,4,85,33,7,0,2,1,8,14,29,49,31,4,0,
Woking,E07000217,186,0,36,24,8,2,0,1,2,8,17,42,36,8,2,
Wirral,E08000015,896,12,261,90,34,11,4,7,48,62,33,177,132,23,2,
Windsor and Maidenhead,E06000040,313,8,86,24,2,2,0,2,4,11,23,88,46,14,3,
Winchester,E07000094,190,3,52,43,3,1,0,0,4,11,8,35,27,3,0,
Wiltshire,E06000054,773,11,185,118,28,2,1,3,5,42,51,167,130,29,1,
Wigan,E08000010,907,3,192,104,24,9,1,0,79,181,102,122,59,24,7,
Westmorland and Furness,E06000064,561,3,56,9,1,3,2,1,10,29,10,22,13,5,1,
Westminster,E09000033,358,20,137,14,3,0,0,0,7,5,18,91,49,13,1,
West Suffolk,E07000245,180,1,7,8,1,2,1,0,0,0,8,19,16,1,0,
West Oxfordshire,E07000181,179,1,72,31,5,1,0,0,1,3,9,30,23,2,1,
West Northamptonshire,E06000062,265,2,38,17,12,2,1,0,3,9,11,31,5,4,1,
West Lindsey,E07000142,161,0,12,8,1,0,0,0,4,17,41,49,17,11,1,
West Lancashire,E07000127,261,3,74,30,6,3,1,5,19,36,23,23,29,9,0,
West Devon,E07000047,30,0,7,4,0,1,1,1,0,2,5,6,2,0,1,
West Berkshire,E06000037,223,5,90,26,1,1,1,0,4,4,16,39,24,11,1,
Welwyn Hatfield,E07000241,246,6,54,33,10,2,0,0,0,4,7,82,41,6,1,
Wealden,E07000065,374,2,59,32,9,6,4,0,4,6,32,146,58,13,3,
Waverley,E07000216,300,3,70,47,7,3,0,0,0,9,20,80,53,8,0,
Watford,E07000103,237,0,87,14,7,5,0,2,8,8,13,58,28,5,2,
Warwick,E07000222,242,1,60,25,10,3,0,0,0,7,30,60,35,7,4,
Warrington,E06000007,514,0,135,62,12,1,2,4,37,54,39,93,49,19,7,
Wandsworth,E09000032,447,29,135,28,1,3,1,0,7,10,25,127,68,10,3,
Waltham Forest,E09000031,543,11,180,35,9,2,0,3,4,16,60,163,49,9,2,
Walsall,E08000030,880,20,230,84,24,2,4,0,14,86,64,148,165,31,8,
Wakefield,E08000036,802,4,197,83,36,8,2,6,22,116,123,90,75,35,5,
Vale of White Horse,E07000180,187,0,88,24,5,0,0,1,0,1,14,35,16,3,0,
Uttlesford,E07000077,129,0,37,17,4,0,0,1,0,2,3,32,26,5,2,
Tunbridge Wells,E07000116,209,0,30,21,21,3,3,0,1,3,34,66,21,2,4,
Trafford,E08000009,471,10,115,58,24,6,3,3,20,66,39,44,53,22,8,
Tower Hamlets,E09000030,500,24,139,17,5,0,0,3,8,20,45,165,59,12,3,
Torridge,E07000046,44,0,14,4,0,0,0,0,0,4,7,8,4,3,0,
Torbay,E06000027,149,1,36,17,2,0,0,0,13,16,9,27,20,7,1,
Tonbridge and Malling,E07000115,244,4,28,27,11,2,0,0,0,2,35,94,32,7,2,
Thurrock,E06000034,447,0,101,23,14,3,0,0,10,51,30,144,56,13,2,
Three Rivers,E07000102,229,0,53,26,3,0,0,0,5,11,24,71,30,5,1,
Thanet,E07000114,448,0,81,37,11,12,4,2,1,22,60,136,66,10,6,
Tewkesbury,E07000083,176,1,76,18,2,0,0,0,0,8,19,40,10,2,0,
Test Valley,E07000093,221,1,53,44,7,2,0,2,7,2,11,35,50,7,0,
Tendring,E07000076,576,5,78,49,18,5,0,0,8,23,16,191,149,32,2,
Telford and Wrekin,E06000020,242,2,48,32,5,1,0,0,5,12,24,52,43,16,2,
Teignbridge,E07000045,105,1,22,5,2,0,0,0,2,9,7,31,22,3,1,
Tandridge,E07000215,210,2,47,30,9,0,0,0,0,1,11,54,51,5,0,
Tamworth,E07000199,193,1,42,8,9,4,2,3,3,25,15,41,33,6,1,
Tameside,E08000008,641,10,149,69,44,13,13,34,54,81,41,62,40,24,7,
Swindon,E06000030,317,1,93,49,11,1,3,5,3,11,17,67,46,5,5,
Swale,E07000113,401,2,62,34,13,3,0,1,7,41,58,114,51,13,2,
Sutton,E09000029,455,8,123,28,9,1,0,0,0,11,41,135,76,21,2,
Surrey Heath,E07000214,228,2,39,33,7,0,0,0,0,3,6,89,41,8,0,
Sunderland,E08000024,775,8,227,73,7,2,1,8,75,105,69,90,89,19,2,
Stroud,E07000082,173,3,62,18,2,0,0,0,0,19,29,22,13,5,0,
Stratford-on-Avon,E07000221,270,3,98,50,4,1,0,0,11,8,24,46,19,5,1,
Stoke-on-Trent,E06000021,716,4,78,76,19,7,3,1,11,91,164,143,81,32,6,
Stockton-on-Tees,E06000004,438,3,50,59,25,4,2,3,25,63,83,75,32,9,5,
Stockport,E08000007,654,10,197,100,26,9,7,4,23,49,46,77,66,32,8,
Stevenage,E07000243,153,0,39,11,3,0,1,0,1,3,14,40,27,12,2,
Staffordshire Moorlands,E07000198,268,3,31,24,10,6,0,0,4,28,65,55,31,7,4,
Stafford,E07000197,320,0,58,39,11,1,0,0,12,33,63,72,25,5,1,
St. Helens,E08000013,503,0,126,53,5,2,3,1,33,46,17,82,99,32,4,
St Albans,E07000240,320,0,91,20,6,10,4,2,3,14,23,87,48,10,2,
Spelthorne,E07000213,204,1,55,20,4,6,0,1,1,8,11,56,35,4,2,
Southwark,E09000028,419,28,165,37,5,2,3,0,0,3,12,92,45,18,9,
Southend-on-Sea,E06000033,607,5,103,49,22,12,3,0,1,11,56,219,90,31,5,
Southampton,E06000045,342,6,87,44,11,2,0,0,5,4,12,89,66,11,5,
South Tyneside,E08000023,448,3,77,66,7,3,0,11,27,24,82,85,39,21,3,
South Staffordshire,E07000196,251,2,65,15,7,3,0,1,3,20,26,54,41,12,2,
South Ribble,E07000126,225,1,43,26,17,2,0,2,9,17,36,24,40,6,2,
South Oxfordshire,E07000179,204,3,59,41,4,1,1,1,4,3,15,48,21,3,0,
South Norfolk,E07000149,217,0,24,19,4,2,2,1,1,5,27,68,55,9,0,
South Kesteven,E07000141,271,0,32,19,13,1,1,1,4,18,42,72,52,16,0,
South Holland,E07000140,177,1,22,20,9,1,1,0,5,23,21,29,31,11,3,
South Hams,E07000044,45,1,7,3,0,0,0,0,2,3,3,19,6,1,0,
South Gloucestershire,E06000025,390,4,96,50,11,2,1,0,3,33,52,56,66,15,1,
South Derbyshire,E07000039,238,4,60,29,7,2,1,2,7,25,28,46,18,8,1,
South Cambridgeshire,E07000012,182,2,31,14,5,0,0,1,0,2,7,44,57,13,6,
Somerset,E06000066,721,0,14,9,4,0,0,2,2,5,43,43,41,6,0,
Solihull,E08000029,550,2,190,54,3,2,1,3,12,40,46,85,91,18,3,
Slough,E06000039,313,12,70,16,3,1,1,1,3,21,25,88,56,15,1,
Shropshire,E06000051,539,11,86,91,35,7,0,3,12,39,39,90,102,22,2,
Shepway,E07000112,364,0,41,36,39,13,4,1,1,10,56,108,37,15,3,
Sheffield,E08000019,1204,4,308,193,34,10,5,14,37,152,103,172,116,42,14,
Sevenoaks,E07000111,275,2,65,18,5,8,2,1,1,10,28,83,39,12,1,
Sefton,E08000014,781,9,187,50,16,6,5,10,63,104,47,122,121,36,5,
Sandwell,E08000028,963,17,219,76,25,4,4,7,23,88,96,184,176,40,4,
Salford,E08000006,619,19,221,55,14,4,1,18,35,83,63,45,49,9,3,
Rutland,E06000017,65,0,7,11,2,1,0,0,0,9,2,11,18,4,0,
Rushmoor,E07000092,219,2,45,26,2,1,0,0,0,2,11,66,53,11,0,
Rushcliffe,E07000176,203,3,47,19,7,1,0,0,7,19,14,42,34,8,2,
Runnymede,E07000212,155,2,46,13,9,1,0,0,0,8,8,37,25,6,0,
Rugby,E07000220,173,2,29,32,3,0,0,0,3,10,18,51,16,7,2,
Rotherham,E08000018,745,2,171,79,45,19,2,2,25,106,119,92,53,25,5,
Rother,E07000064,349,2,19,22,6,2,1,0,0,12,55,170,54,5,1,
Rossendale,E07000125,166,0,24,23,2,1,0,1,12,22,14,34,22,11,0,
Rochford,E07000075,268,3,37,30,9,6,1,1,1,7,29,77,45,20,2,
Rochdale,E08000005,600,10,130,41,24,5,7,4,39,133,70,54,46,24,13,
Richmond upon Thames,E09000027,295,8,106,20,3,3,1,0,1,10,22,74,30,15,2,
Ribble Valley,E07000124,145,0,14,7,4,0,0,1,14,20,15,46,18,4,2,
Reigate and Banstead,E07000211,399,6,121,34,9,0,0,1,3,16,29,84,85,6,5,
Redditch,E07000236,172,1,33,16,5,1,0,0,0,12,28,35,29,11,1,
Redcar and Cleveland,E06000003,315,0,62,44,19,1,0,1,24,42,28,33,52,8,1,
Redbridge,E09000026,816,24,225,44,4,1,0,7,29,46,84,246,80,19,7,
Reading,E06000038,267,0,105,39,8,0,1,1,9,10,9,46,30,3,6,
Preston,E07000123,311,2,53,48,16,3,1,4,22,42,38,30,30,16,6,
Portsmouth,E06000044,355,11,66,16,3,1,1,3,3,17,34,111,60,24,5,
Plymouth,E06000026,207,1,44,30,3,0,0,4,8,17,13,34,47,5,1,
Peterborough,E06000031,316,0,41,36,11,5,4,3,4,12,34,79,71,14,2,
Pendle,E07000122,260,3,38,24,7,2,0,3,17,55,29,47,29,5,1,
Oxford,E07000178,175,1,52,10,3,1,0,0,1,2,12,62,26,5,0,
Oldham,E08000004,628,13,165,42,12,5,7,2,38,130,70,70,51,17,6,
Oadby and Wigston,E07000135,161,0,35,13,12,0,0,0,3,10,33,31,17,7,0,
