local authority: district / unitary (as of April 2023),mnemonic,Total: All usual residents,Young,Adult,Elderly
Hartlepool,E06000001,92334,21665,52437,18232
Middlesbrough,E06000002,143922,36759,82985,24178
Redcar and Cleveland,E06000003,136536,29805,74982,31749
Stockton-on-Tees,E06000004,196594,46800,112611,37183
Darlington,E06000005,107807,24238,61524,22045
County Durham,E06000047,522062,113839,296886,111337
Northumberland,E06000057,320565,64008,175008,81549
Newcastle upon Tyne,E08000021,300131,72115,183498,44518
North Tyneside,E08000022,208952,45453,120609,42890
South Tyneside,E08000023,147777,32403,84536,30838
Sunderland,E08000024,274166,59765,158141,56260
Gateshead,E08000037,196144,42426,113946,39772
Halton,E06000006,128475,30061,74454,23960
Warrington,E06000007,210969,46940,123872,40157
Blackburn with Darwen,E06000008,154735,43804,88531,22400
Blackpool,E06000009,141033,30521,81321,29191
Cheshire East,E06000049,398771,84606,224940,89225
Cheshire West and Chester,E06000050,357150,76546,204858,75746
Cumberland,E06000063,273244,55962,154067,63215
Westmorland and Furness,E06000064,226587,43281,125000,58306
Burnley,E07000117,94649,23681,54068,16900
Chorley,E07000118,117731,25894,67719,24118
Fylde,E07000119,81380,15009,43725,22646
Hyndburn,E07000120,82236,20491,46739,15006
Lancaster,E07000121,142932,32460,81124,29348
Pendle,E07000122,95753,25039,53471,17243
Preston,E07000123,147835,37165,88864,21806
Ribble Valley,E07000124,61558,12606,34100,14852
Rossendale,E07000125,70876,16513,40702,13661
South Ribble,E07000126,111042,23998,63012,24032
West Lancashire,E07000127,117427,26703,65004,25720
Wyre,E07000128,111949,22098,58849,31002
Bolton,E08000001,295961,78028,167212,50721
Bury,E08000002,193851,47731,110673,35447
Manchester,E08000003,551943,149702,350073,52168
Oldham,E08000004,242081,67772,135701,38608
Rochdale,E08000005,223775,59302,127606,36867
Salford,E08000006,269927,65524,168481,35922
Stockport,E08000007,294776,67322,168179,59275
Tameside,E08000008,231063,55689,134865,40509
Trafford,E08000009,235063,59116,134650,41297
Wigan,E08000010,329329,74262,191467,63600
Knowsley,E08000011,154523,36776,91504,26243
Liverpool,E08000012,486093,112188,299579,74326
St. Helens,E08000013,183245,40020,105588,37637
Sefton,E08000014,279231,57904,156561,64766
Wirral,E08000015,320199,71362,178443,70394
"Kingston upon Hull, City of",E06000010,267010,65515,160668,40827
East Riding of Yorkshire,E06000011,342217,67238,184483,90496
North East Lincolnshire,E06000012,156966,35944,88187,32835
North Lincolnshire,E06000013,169674,37106,95295,37273
York,E06000014,202821,44054,120033,38734
North Yorkshire,E06000065,615487,124575,337085,153827
Barnsley,E08000016,244576,54435,142543,47598
Doncaster,E08000017,308108,69822,178435,59851
Rotherham,E08000018,265806,61637,151942,52227
Sheffield,E08000019,556519,131698,330000,94821
Bradford,E08000032,546409,154780,308628,83001
Calderdale,E08000033,206627,49035,118285,39307
Kirklees,E08000034,433222,108272,248135,76815
Leeds,E08000035,811950,196394,488792,126764
Wakefield,E08000036,353375,79765,207000,66610
Derby,E06000015,261354,65445,153126,42783
Leicester,E06000016,368569,101063,224004,43502
Rutland,E06000017,41050,8917,21747,10386
Nottingham,E06000018,323627,87571,198091,37965
North Northamptonshire,E06000061,359525,85659,208505,65361
West Northamptonshire,E06000062,425726,101051,251998,72677
Amber Valley,E07000032,126205,25873,71856,28476
Bolsover,E07000033,80277,16990,47074,16213
Chesterfield,E07000034,103569,21408,59779,22382
Derbyshire Dales,E07000035,71536,13224,38295,20017
Erewash,E07000036,112902,23872,65546,23484
High Peak,E07000037,90930,18738,52356,19836
North East Derbyshire,E07000038,102000,20525,56146,25329
South Derbyshire,E07000039,107203,24605,62662,19936
Blaby,E07000129,102933,23396,58459,21078
Charnwood,E07000130,183978,42685,106658,34635
