LA_name,LA_code,Total_deaths,Population_density,Household_deprivation,Household_not_deprived,Young,Adult,Elderly,On_foot,Public_transport,personal_vehivle,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Lives_in_a_household,Lives_in_a_communal_establishment,Travel_for_work,Works_mainly_from_home,"Works_mainly_at_an_offshore_installation,_in_no_fixed_place,_or_outside_the_UK",Economically_active_(excluding_full_time_students),Economically_active_and_a_full_time_student,Economically_inactive,Part_time,Full_time
Hartlepool,E06000001,2.707561678,92.334,578.2555583,2371.104159,234.637295,567.9056469,197.4570581,33.89867221,94.82964022,274.6333961,431.2279334,333.0192562,156.1180064,60.92013776,18.75798731,990.6534971,9.3898239,274.9474733,71.1547209,62.72878896,427.653952,13.68943185,367.513592,129.5514112,279.279572
Middlesbrough,E06000002,2.536095941,143.922,578.3910259,2371.866021,255.40918,576.5970456,167.9937744,35.63735913,99.28294493,250.2883506,466.9682189,322.2717861,137.7204319,55.37027001,17.68318951,982.6225316,17.40526118,262.989675,65.85511597,63.27038257,404.6149998,27.89705535,359.1598227,132.1827101,259.9324634
Redcar and Cleveland,E06000003,2.307083846,136.536,558.8435705,2266.769638,218.2940763,549.1738443,232.5320795,30.00673815,94.82480811,275.9199039,425.4189371,339.9542978,158.4417297,57.97738325,18.17103182,990.9474424,9.015937189,266.3619851,73.37991445,67.63051503,423.3828441,13.30784555,386.0959747,131.8333626,275.539052
Stockton-on-Tees,E06000004,2.22794185,196.594,516.4941438,2068.227276,238.0540607,572.8099535,189.1359858,27.66106799,116.7482222,288.7880607,465.3193892,333.2807715,138.9004751,47.77358414,14.73086666,985.6862366,14.31885002,281.6973051,95.67433391,62.33150554,454.3119322,15.39721456,334.0183322,130.649969,309.0531756
Darlington,E06000005,2.263303867,107.807,513.9726475,2057.497371,224.8277014,570.6865046,204.4857941,46.19366089,134.5645459,271.93967,452.1877058,346.211285,142.6901778,46.52759097,12.31830957,990.8261987,9.099594646,288.5248639,110.9575445,57.7884553,470.9156177,14.47957925,331.8337399,129.935904,327.3256839
Halton,E06000006,2.132710644,128.475,567.7670736,2313.567382,233.9832652,579.5213076,186.4954271,33.43841214,135.8240903,283.5104106,459.7470325,322.6697801,140.790037,58.30706363,18.52500486,993.1659856,6.857365246,283.2302004,113.2360381,60.47869235,467.9587468,14.99124343,326.1412726,121.9536875,334.9912434
Warrington,E06000007,2.436376908,210.969,480.9140913,1926.463391,222.4971441,587.1573549,190.345501,26.86650645,171.6034109,286.4638881,500.6090942,327.7163944,121.3401021,39.17637188,11.1817376,985.2253175,14.7983827,274.3388839,154.747854,60.04199669,496.2814442,15.52360773,306.9029099,132.6640407,356.4646939
Blackburn with Darwen,E06000008,2.68846738,154.735,588.4254769,2429.693637,283.090445,572.1459269,144.7636281,38.87937441,107.4611432,260.0058164,477.9138527,323.1977251,132.529809,50.57679258,15.80120852,990.3706337,9.648754322,274.6825217,80.05945649,56.0118913,422.3026465,17.87572301,332.1679,132.9628074,277.7845995
Blackpool,E06000009,2.708585934,141.033,617.6974486,2615.729339,216.4103437,576.6097296,206.9799267,49.66213581,120.0144647,245.0844838,403.6856622,335.0634249,169.9105883,69.32420072,22.0373955,978.6078436,21.41342806,265.7179525,85.17864613,70.01198301,439.4219793,16.86130196,368.6158559,139.2936405,281.6149412
"Kingston upon Hull, City of",E06000010,2.288303809,267.01,588.1599002,2428.12684,245.3653421,601.7302723,152.9043856,39.98352122,98.82775926,297.6742444,433.6017378,348.8633385,149.2490918,52.42874799,15.87206472,982.8321037,17.18287705,322.3399873,58.17759634,60.62319763,460.0389499,19.9243474,321.0366653,129.9277181,311.2130632
East Riding of Yorkshire,E06000011,0.563969645,342.217,489.0113503,1956.990631,196.4776735,539.0819275,264.4403989,35.85152111,121.9460167,293.4015552,448.6831455,353.9187124,143.6544649,41.16686196,12.57097105,981.9500492,18.04410652,277.5052087,112.7004211,65.99905908,462.6041371,13.11156372,366.2705243,140.6329902,315.5687765
North East Lincolnshire,E06000012,1.605443217,156.966,560.3213703,2274.388456,228.9922658,561.8223055,209.1854287,40.51832881,80.4250602,312.182256,430.5773225,350.0057337,154.4092351,50.39944956,14.60825911,990.4119363,9.588063657,306.9327115,61.19159563,70.49934381,450.2440019,15.08606959,347.0815336,139.0173668,299.6062842
North Lincolnshire,E06000013,1.63843606,169.674,539.0239569,2169.31013,218.6899584,561.6358429,219.6741988,38.99831441,86.62493959,319.0058583,428.9755649,359.2418402,151.478718,47.16692009,13.17231868,990.145809,9.889552907,307.9375744,78.25005599,63.04442637,459.628464,14.49249738,347.837618,130.8509259,318.3811309
York,E06000014,1.661563645,202.821,461.4376485,1856.79522,217.2063051,591.8174154,190.9762796,56.61149486,189.2752723,224.5280321,486.1922582,350.2250753,121.3089374,33.46793478,8.805794272,944.5373014,55.46269864,250.3340384,168.4194437,55.55144684,460.4799306,38.63998304,349.3228019,161.0829253,313.2170732
Derby,E06000015,2.705143216,261.354,543.9272328,2192.632562,250.4074933,585.894993,163.6975137,42.39078032,137.4725468,260.6082172,458.4165538,346.4687742,137.1970584,44.1623239,13.79355204,983.1913803,16.84688201,284.8167619,104.302976,55.49561132,450.8367961,24.94318051,324.6401433,134.036594,310.574929
Leicester,E06000016,2.1976889,368.569,612.2319214,2578.861064,274.2037448,607.7667954,118.0294599,58.57519216,119.6112533,235.8337245,487.6129029,334.8762376,125.2302825,40.01693034,12.26907309,964.1423994,35.863027,290.5263329,80.12068297,49.71931986,425.7655961,34.31650519,329.4905432,144.7327366,275.6335991
Rutland,E06000017,1.583434836,41.05,420.4504612,1725.478036,217.2228989,529.7685749,253.0085262,48.81851401,161.1936663,243.0207065,503.4348356,342.5822168,118.6114495,28.4774665,6.869671133,912.0341048,87.94153471,238.9281364,156.0048721,62.65529842,462.4847747,10.71863581,362.2898904,139.4640682,318.0998782
Nottingham,E06000018,1.965225398,323.627,584.1035713,2404.444787,270.5923795,612.0966421,117.3109784,42.47791439,164.3805987,185.7632398,475.7205054,334.6197938,129.3557089,45.69149051,14.62795131,930.283938,69.73151189,241.4229962,101.7065943,55.06648086,396.502764,45.16310444,375.0799532,132.5785549,265.6175165
"Herefordshire, County of",E06000019,1.566518213,187.039,505.6927256,2023.033145,198.3115821,542.5071776,259.1812403,50.20877999,126.8398569,291.6504045,457.2361914,351.0230487,139.2223012,40.85244254,11.63928379,987.2326092,12.74065837,276.3220505,120.9266517,75.97346008,481.0440603,11.70344153,347.3553644,153.0269088,320.1952534
Telford and Wrekin,E06000020,1.304420476,185.523,540.0601229,2174.197215,245.0693445,578.6506255,176.28003,27.81326305,131.9512944,296.9766552,459.6357325,340.8256658,138.4356657,47.49815387,13.70180517,989.8125839,10.28443913,290.0449001,110.1211171,60.67711281,472.0007762,15.16254049,314.1928494,121.9848752,338.8582548
